name,age,season,final_place,challenge_wins,ls_battles,hometown,region
BeBe Zahara Benet,28,1,1,3,1,"Minneapolis, Minnesota",Midwest
Nina Flowers,34,1,2,1,0,"Denver, Colorado",West
Rebecca Glasscock,26,1,3,1,2,"Fort Lauderdale, Florida",Southeast
Shannel,29,1,4,0,2,"Las Vegas, Nevada",West
Ongina,26,1,5,2,1,"Los Angeles, California",West
Jade,25,1,6,0,1,"Chicago, Illinois",Midwest
Akashia,24,1,7,0,3,"Cleveland, Ohio",Midwest
Tammie Brown,26,1,8,0,1,"Long Beach, California",West
Victoria “Porkchop” Parker,39,1,9,0,1,"Raleigh, North Carolina",Southeast
Tyra Sanchez,21,2,1,4,0,"Orlando, Florida",Southeast
Raven,30,2,2,2,2,"Riverside, California",West
Jujubee,25,2,3,0,3,"Boston, Massachusetts",Northeast
Tatianna,20,2,4,1,2,"Falls Church, Virginia",Southeast
Pandora Boxx,37,2,5,0,1,"Rochester, New York",Northeast
Jessica Wild,29,2,6,1,1,"San Juan, Puerto Rico",Puerto Rico
Sahara Davenport,25,2,7,1,3,"New York City, New York",Northeast
Morgan McMichaels,28,2,8,1,2,"Mira Loma, California",West
Sonique,26,2,9,0,1,"Atlanta, Georgia",Southeast
Mystique Summers Madison,25,2,10,0,1,"Bedford, Texas",Southwest
Nicole Paige Brooks,36,2,11,0,1,"Atlanta, Georgia",Southeast
Shangela Laquifa Wadley,28,2,12,0,1,"Los Angeles, California",West
Raja,36,3,1,4,1,"Los Angeles, California",West
Manila Luzon,29,3,2,3,1,"New York City, New York",Northeast
Alexis Mateo,30,3,3,3,2,"St. Petersburg, Florida",Southeast
Yara Sofia,26,3,4,1,2,"Manati, Puerto Rico",Puerto Rico
Carmen Carrera,25,3,5,0,3,"Elmwood Park, New Jersey",Northeast
Shengela,28,3,6,2,3,"Los Angeles, California",West
Delta Work,34,3,7,0,3,"Norwalk, California",West
Stacy Layne Matthews,25,3,8,1,2,"Back Swamp, North Carolina",Southeast
Mariah,29,3,9,0,1,"Atlanta, Georgia",Southeast
India Ferrah,23,3,10,0,2,"Dayton, Ohio",Midwest
Mimi Imfurst,26,3,11,0,1,"New York City, New York",Northeast
Phoenix,29,3,12,0,1,"Atlanta, Georgia",Southeast
Venus D-Lite,26,3,13,0,1,"Los Angeles, California",West
Sharon Needles,29,4,1,5,1,"Pittsburgh, Pennsylvania",Northeast
Chad Michaels,40,4,2,2,1,"San Diego, California",West
Phi Phi O’Hara,25,4,3,2,1,"Chicago, Illinois",Midwest
Latrice Royale,39,4,4,2,3,"South Beach, Florida",Southeast
Kenya Michaels,21,4,5,0,1,"Dorado, Puerto Rico",Puerto Rico
DiDa Ritz,25,4,6,0,2,"Chicago, Illinois",Midwest
Willam,29,4,7,1,1,"Los Angeles, California",West
Jiggly Caliente,30,4,8,0,3,"Queens, New York",Northeast
Milan,36,4,9,0,3,"New York City, New York",Northeast
Madame LaQueer,29,4,10,1,1,"Carolina, Puerto Rico",Puerto Rico
The Princess,31,4,11,0,2,"Chicago, Illinois",Midwest
Lashauwn Beyond,21,4,12,0,1,"Fort Lauderdale, Florida",Southeast
Alisa Summers,23,4,13,0,1,"Tampa, Florida",Southeast
Jinkx Monsoon,24,5,1,3,1,"Seattle, Washington",West
Alaska,27,5,2,2,0,"Pittsburgh, Pennsylvania",Northeast
Roxxxy Andrews,28,5,3,2,1,"Orlando, Florida",Southeast
Detox,27,5,4,1,3,"Los Angeles, California",West
Coco Montrese,37,5,5,1,4,"Las Vegas, Nevada",West
Alyssa Edwards,32,5,6,1,3,"Mesquite, Texas",Southwest
Ivy Winters,27,5,7,1,1,"Greenville, Michigan",Midwest
Jade Jolie,25,5,8,0,1,"Gainesville, Florida",Southeast
Lineysha Sparx,24,5,9,1,1,"San Juan, Puerto Rico",Puerto Rico
Honey Mahogany,29,5,10,0,1,"San Francisco, California",West
Vivienne Pinay,26,5,11,0,1,"New York City, New York",Northeast
Monica Beverly Hillz,27,5,12,0,2,"Owensboro, Kentucky",Southeast
Serena Cha Cha,21,5,13,0,2,"Tallahassee, Florida",Southeast
Penny Tration,39,5,14,0,1,"Cincinnati, Ohio",Midwest
Bianca Del Rio,37,6,1,4,0,"New York City, New York",Northeast
Adore Delano,23,6,2,3,2,"Azusa, California",West
Courtney Act,31,6,3,2,0,"West Hollywood, California",West
Darienne Lake,41,6,4,1,3,"Rochester, New York",Northeast
BenDeLaCreme,31,6,5,2,2,"Seattle, Washington",West
Joslyn Fox,26,6,6,0,2,"Worcester, Massachusetts",Northeast
Trinity K. Bonet,22,6,7,0,3,"Atlanta, Georgia",Southeast
Laganja Estranja,24,6,8,1,2,"Van Nuys, California",West
Milk,25,6,9,0,1,"New York City, New York",Northeast
Gia Gunn,23,6,10,0,1,"Chicago, Illinois",Midwest
April Carrión,24,6,11,0,2,"Guaynabo, Puerto Rico",Puerto Rico
Vivacious,40,6,12,0,2,"New York City, New York",Northeast
Magnolia Crawford,28,6,13,0,1,"Seattle, Washington",West
Kelly Mantle,37,6,14,0,1,"Los Angeles, California",West
Violet Chachki,22,7,1,4,0,"Atlanta, Georgia",Southeast
Ginger Minj,29,7,2,3,2,"Orlando, Florida",Southeast
Pearl,23,7,3,2,2,"Brooklyn, New York",Northeast
Kennedy Davenport,33,7,4,2,3,"Dallas, Texas",Southwest
Katya,32,7,5,2,2,"Boston, Massachusetts",Northeast
Trixie Mattel,24,7,6,1,2,"Milwaukee, Wisconsin",Midwest
Miss Fame,29,7,7,0,1,"New York City, New York",Northeast
Jaidynn Diore Fierce,25,7,8,0,3,"Nashville, Tennessee",Southeast
Max,22,7,9,2,1,"Hudson, Wisconsin",Midwest
Kandy Ho,28,7,10,0,3,"Cayey, Puerto Rico",Puerto Rico
Mrs. Kasha Davis,43,7,11,0,1,"Rochester, New York",Northeast
Jasmine Masters,37,7,12,0,1,"Los Angeles, California",West
Sasha Belle,28,7,13,0,1,"Iowa City, Iowa",Midwest
Tempest DuJour,46,7,14,0,1,"Tuscon, Arizona",Southwest
Bob the Drag Queen,29,8,1,4,1,"New York City, New York",Northeast
Kim Chi,27,8,2,2,0,"Chicago, Illinois",Midwest
Naomi Smalls,21,8,3,1,1,"Redlands, California",West
Chi Chi DeVayne,29,8,4,1,3,"Shreveport, Louisiana",Southeast
Derrick Barry,32,8,5,1,2,"Las Vegas, Nevada",West
Thorgy Thor,31,8,6,0,1,"Brooklyn, New York",Northeast
Robbie Turner,33,8,7,1,2,"Seattle, Washington",West
Acid Betty,37,8,8,0,1,"Brooklyn, New York",Northeast
Naysha Lopez,31,8,9,0,2,"Chicago, Illinois",Midwest
Cynthia Lee Fontaine,34,8,10,0,1,"Austin, Texas",Southwest
Dax ExclamationPoint,31,8,11,0,1,"Savannah, Georgia",Southeast
Laila McQueen,22,8,12,0,2,"Gloucester, Massachusetts",Northeast
Sasha Velour,29,9,1,3,0,"Brooklyn, New York",Northeast
Peppermint,37,9,2,1,2,"New York City, New York",Northeast
Shea Couleé,27,9,3,4,1,"Chicago, Illinois",Midwest
Trinity Taylor,31,9,4,3,1,"Orlando, Florida",Southeast
Alexis Michelle,32,9,5,1,2,"New York City, New York",Northeast
Nina Bo’nina Brown,34,9,6,1,3,"Riverdale, Georgia",Southeast
Valentina,25,9,7,1,1,"Echo Park, California",West
Farrah Moan,23,9,8,0,2,"Las Vegas, Nevada",West
Aja,22,9,9,0,2,"Brooklyn, New York",Northeast
Cynthia Lee Fontaine,35,9,10,0,2,"Austin, Texas",West
Eureka,25,9,11,0,0,"Johnson City, Tennessee",Southeast
Charlie Hides,52,9,12,0,1,"Boston, Massachusetts",Northeast
Kimora Blac,27,9,13,0,2,"Las Vegas, Nevada",West
Jaymes Mansfield,26,9,14,0,1,"Milwaukee, Wisconsin",Midwest
Aquaria,21,10,1,4,0,"Brooklyn, New York",Northeast
Eureka,27,10,2,2,2,"Johnson City, Tennessee",Southeast
Kameron Michaels,31,10,3,1,3,"Nashville, Tennessee",Southeast
Asia O’Hara,35,10,4,2,1,"Dallas, Texas",Southwest
Miz Cracker,33,10,5,1,1,"Harlem, New York",Northeast
Monét X Change,27,10,6,0,3,"The Bronx, New York",Northeast
The Vixen,26,10,7,1,3,"Chicago, Illinois",Midwest
Monique Heart,31,10,8,0,1,"Kansas City, Missouri",Midwest
Blair St. Clair,22,10,9,0,1,"Indianapolis, Indiana",Midwest
Mayhem Miller,35,10,10,1,2,"Riverside, California",West
Dusty Ray Bottoms,29,10,11,0,1,"New York City, New York",Northeast
Yuhua Hamasaki,27,10,12,0,1,"New York City, New York",Northeast
Kalorie Karbdashian Williams,27,10,13,0,2,"Albuquerque, New Mexico",Southwest
Vanessa Vanjie Mateo,25,10,14,0,1,"Tampa, Florida",Southeast
Yvie Oddly,24,11,1,3,1,"Denver, Colorado",West
Brooke Lynn Hytes,32,11,2,3,2,"Nashville, Tennessee",Southeast
A’Keria C. Davenport,30,11,3/4,2,2,"Dallas, Texas",Southwest
Silky Nutmeg Ganache,28,11,3/4,2,1,"Chicago, Illinois",Midwest
Vanessa Vanjie Mateo,26,11,5,0,3,"Los Angeles, California",West
Nina West,39,11,6,2,1,"Columbus, Ohio",Midwest
Shuga Cain,40,11,7,0,3,"New York City, New York",Northeast
Plastique Tiara,21,11,8,1,2,"Dallas, Texas",Southwest
Ra’Jah O’Hara,33,11,9,0,4,"Dallas, Texas",Southwest
Scarlet Envy,26,11,10,1,2,"Brooklyn, New York",Northeast
Ariel Versace,26,11,11,0,1,"Cherry Hill, New Jersey",Northeast
Mercedes Iman Diamond,30,11,12,0,2,"Minneapolis, Minnesota",Midwest
Honey Davenport,32,11,13,0,1,"New York City, New York",Northeast
Kahanna Montrese,25,11,14,0,2,"Las Vegas, Nevada",West
Soju,27,11,15,0,1,"Los Angeles, California",West
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
